title,artist,highest_peak,total_weeks_on_chart,first_appearance,hit_score,is_hit
Anything Like Me,Brad Paisley,48,190,2010-09-17,432,1
Anywhere With You,Jake Owen,46,210,2013-04-05,474,1
Apes**t,The Carters,13,120,2018-06-29,327,1
Apparently,J. Cole,58,136,2015-01-02,314,1
Applause,Lady Gaga,4,276,2013-08-30,648,1
Apple,Charli xcx,51,190,2024-08-02,429,1
Apply Pressure,Rod Wave,63,1,2024-10-25,39,0
Aqui Te Espero,Ivan Cornejo,89,1,2023-08-11,13,0
Arcade,Duncan Laurence,30,300,2021-04-16,670,1
Are You Entertained,Russ & Ed Sheeran,97,1,2022-08-05,5,0
Are You Gone Already,Nicki Minaj,60,1,2023-12-22,42,0
Are You Gonna Kiss Me Or Not,Thompson Square,32,210,2010-12-31,488,1
Are You Happy Now?,Cassadee Pope,95,1,2012-12-14,7,0
Area Codes,Kaliii,33,171,2023-05-19,409,1
Argentina,Gunna,67,1,2020-06-05,35,0
Armed And Dangerous,Juice WRLD,44,153,2018-11-23,362,1
Arms,Christina Perri,94,3,2011-04-01,12,0
Arms Around You,XXXTENTACION x Lil Pump Featuring Maluma & Swae Lee,28,153,2018-11-09,378,1
Around Me,Metro Boomin Featuring Don Toliver,53,3,2022-12-16,53,0
Around My Way (Freedom Ain't Free),Lupe Fiasco,76,1,2012-06-08,26,0
Arson,j-hope,96,1,2022-07-29,6,0
As I Am,Justin Bieber Featuring Khalid,43,6,2021-04-02,69,0
As If We Never Said Goodbye,Glee Cast,80,1,2011-05-13,22,0
As It Was,Harry Styles,1,1891,2022-04-15,3881,1
As Long As You Love Me,Justin Bieber Featuring Big Sean,6,435,2012-06-29,964,1
As Long As You Love Me (Acoustic),Justin Bieber,98,1,2013-02-15,4,0
As Long As You're There,Glee Cast,93,1,2011-06-10,9,0
As She's Walking Away,Zac Brown Band Featuring Alan Jackson,32,210,2010-08-27,488,1
As Your Friend,Afrojack Featuring Chris Brown,88,6,2013-03-08,24,0
Ask Me How I Know,Garth Brooks,71,28,2017-11-03,85,0
Ass Back Home,Gym Class Heroes Featuring Neon Hitch,12,276,2011-12-30,640,1
Aston Martin Music,Rick Ross Featuring Drake & Chrisette Michele,30,210,2010-08-06,490,1
Astronaut In The Ocean,Masked Wolf,6,406,2021-02-26,906,1
Astronauts,Future & Juice WRLD,82,1,2018-11-02,20,0
Astrothunder,Travis Scott,48,1,2018-08-17,54,0
At Last,Sundance Head,89,1,2016-12-30,13,0
At Last,Will Champlin,83,1,2013-12-13,19,0
At My Best,Machine Gun Kelly Featuring Hailee Steinfeld,60,36,2017-04-07,112,0
At The Club,Jacquees X DeJ Loaf,86,28,2018-02-16,70,0
At The End Of A Bar,Chris Young With Mitchell Tenpenny,75,21,2022-07-29,67,0
Atlas,Coldplay,69,3,2013-09-20,37,0
Attention,Charlie Puth,5,785,2017-05-12,1665,1
Attention,Doja Cat,31,6,2023-06-30,81,0
Attention,The Weeknd,67,3,2016-12-16,39,0
Attitude,Don Toliver Featuring Charlie Wilson & Cash Cobain,58,3,2024-06-07,48,0
August,Taylor Swift,23,3,2020-08-07,83,0
Auntie Diaries,Kendrick Lamar,47,1,2022-05-27,55,0
Austin,Dasha,18,666,2024-03-22,1414,1
Auto Pilot,Migos,85,1,2018-02-09,17,0
Automatic,Miranda Lambert,35,190,2014-02-28,445,1
Avalanche,Migos,27,3,2021-06-25,79,0
Aw Naw,Chris Young,45,210,2013-08-02,475,1
Away From Home,Drake,32,1,2023-10-20,70,0
Awful Things,Lil Peep,79,1,2017-12-08,23,0
Ay!,Machine Gun Kelly & Lil Wayne,82,3,2022-03-18,24,0
"Ay, Dios Mio!",Karol G,94,1,2020-10-09,8,0
Aye,Lil Uzi Vert Featuring Travis Scott,31,1,2023-07-14,71,0
Aye Say Gang,Future,80,1,2024-10-04,22,0
Ayo,Chris Brown & Tyga,21,210,2015-01-23,499,1
Ayy Ladies,Travis Porter Featuring Tyga,53,190,2012-03-16,427,1
B**** Better Have My Money,Rihanna,15,276,2015-04-10,637,1
B**** I'm Madonna,Madonna Featuring Nicki Minaj,84,3,2015-07-03,22,0
B*tch From da Souf,Mulatto,95,6,2020-08-21,17,0
B.E.D.,Jacquees,69,91,2017-08-25,213,1
B.I.T.C.H.,Megan Thee Stallion,31,55,2020-02-07,179,1
B.M.F. (Blowin' Money Fast),Rick Ross Featuring Styles P,60,136,2010-07-23,312,1
B.S.,Jhene Aiko Featuring H.E.R.,24,276,2020-03-20,628,1
B12,Lil Durk,83,1,2023-06-09,19,0
BAD!,XXXTENTACION,16,66,2018-11-23,216,1
BAND4BAND,Central Cee & Lil Baby,18,153,2024-06-07,388,1
BBL Love Interlude,Drake,36,1,2023-10-20,66,0
BBO (Bad Bitches Only),Migos Featuring 21 Savage,48,3,2018-02-09,58,0
BEBE,6ix9ine Featuring Anuel AA,30,15,2018-09-14,100,0
BEST ON EARTH,Russ & BIA,46,210,2019-12-20,474,1
BLAME IT ON BABY,DaBaby,64,1,2020-05-01,38,0
BLOW,Ed Sheeran With Chris Stapleton & Bruno Mars,60,3,2019-07-19,46,0
BOP,DaBaby,11,465,2019-10-11,1019,1
Babe,Sugarland Featuring Taylor Swift,72,3,2018-05-04,34,0
Babe (Taylor's Version) (From The Vault),Taylor Swift,69,1,2021-11-26,33,0
Babel,Mumford & Sons,60,15,2012-10-12,70,0
Babushka Boi,A$AP Rocky,69,1,2019-09-13,33,0
Baby,Glee Cast,47,1,2011-03-04,55,0
Baby,Justin Bieber Featuring Ludacris,5,210,2010-02-05,515,1
Baby,Lil Baby & DaBaby,21,231,2019-08-02,541,1
Baby Be My Love Song,Easton Corbin,56,136,2015-04-24,316,1
Baby Blue,Action Bronson Featuring Chance The Rapper,91,1,2015-04-10,11,0
Baby By Me,50 Cent Featuring Ne-Yo,28,63,2010-01-01,198,1
Baby Don't Hurt Me,"David Guetta, Anne-Marie & Coi Leray",48,105,2023-06-02,262,1
Baby Don't Lie,Gwen Stefani,46,21,2014-11-07,96,0
Baby I,Ariana Grande,21,6,2013-08-09,91,0
Baby I'm Back,The Kid LAROI,89,3,2024-09-20,17,0
Baby It's Cold Outside,Dean Martin,45,1,2020-01-03,57,0
Baby It's Cold Outside,Idina Menzel Duet With Michael Buble,78,1,2014-12-05,24,0
Baby Nueva,Bad Bunny,34,3,2023-10-27,72,0
Baby One More Time,Glee Cast,54,1,2010-10-15,48,0
Baby Please,Ivan Cornejo,95,1,2024-03-29,7,0
Baby Pluto,Lil Uzi Vert,6,10,2020-03-20,114,0
Baby Shark,Pinkfong,32,210,2019-01-11,488,1
Baby Sitter,DaBaby Featuring Offset,59,210,2019-08-23,461,1
"Baby, I'm Jealous",Bebe Rexha Featuring Doja Cat,58,1,2020-10-23,44,0
"Baby, It's Cold Outside",Glee Cast,57,3,2010-12-24,49,0
Bacc At It Again,"Yella Beezy, Gucci Mane & Quavo",78,21,2019-06-07,64,0
Back And Forth,Lil Baby & EST Gee,68,1,2022-10-28,34,0
Back At It,Gunna,51,1,2023-06-30,51,0
Back End,Finesse2Tymes,86,15,2023-02-03,44,0
Back In Blood,Pooh Shiesty Featuring Lil Durk,13,276,2021-01-15,639,1
Back In The A,Gunna,94,1,2024-05-24,8,0
Back In Time,Pitbull,11,210,2012-04-13,509,1
Back It Up,Prince Royce Featuring Jennifer Lopez & Pitbull,92,3,2015-06-26,14,0
Back Lit,Rod Wave,80,1,2023-09-29,22,0
Back On My BS,BigXthaPlug,95,1,2024-11-01,7,0
Back On Road,Gucci Mane & Drake,81,1,2016-08-12,21,0
Back Then Right Now,Tyler Hubbard,62,91,2024-03-22,220,1
Back To Back,Drake,21,210,2015-08-21,499,1
Back To Black,Glee Cast,82,1,2011-06-03,20,0
Back To December,Taylor Swift,6,210,2010-10-29,514,1
Back To December (Taylor's Version),Taylor Swift,16,3,2023-07-21,90,0
Back To Me,¥$: Ye & Ty Dolla $ign,26,6,2024-02-23,86,0
Back To Sleep,Chris Brown,20,210,2016-01-01,500,1
Back To The Basics,Future,58,1,2022-05-13,44,0
Back To The Moon,Gunna,29,3,2023-06-30,77,0
Back To The Streets,Saweetie Featuring Jhene Aiko,58,91,2020-11-06,224,1
Back To You,Louis Tomlinson Featuring Bebe Rexha & Digital Farm Animals,40,55,2017-08-11,170,1
Back To You,Selena Gomez,18,351,2018-05-25,784,1
Back Up,DeJ Loaf Featuring Big Sean,47,171,2015-10-23,395,1
BackOutsideBoyz,Drake,9,10,2022-11-18,111,0
Backdoor,Lil Durk,62,10,2021-01-01,58,0
Backin' It Up,Pardison Fontaine Featuring Cardi B,40,210,2018-10-05,480,1
Backroad Song,Granger Smith,49,136,2015-12-25,323,1
Backseat,New Boyz Featuring The Cataracs & Dev,26,210,2011-03-04,494,1
Backstage Passes,EST Gee Featuring Jack Harlow,98,1,2022-09-30,4,0
Backwoods,Justin Moore,69,91,2010-03-12,213,1
Bad,Glee Cast,80,1,2012-02-17,22,0
Bad,Wale Featuring Tiara Thomas Or Rihanna,21,351,2013-02-22,781,1
Bad And Boujee,Migos Featuring Lil Uzi Vert,1,666,2016-12-02,1431,1
Bad Ass,Kid Ink Featuring Meek Mill & Wale,90,1,2013-02-08,12,0
Bad At Love,Halsey,5,545,2017-09-22,1185,1
Bad B*tch,French Montana Featuring Jeremih,95,1,2015-01-09,7,0
Bad Bad,YoungBoy Never Broke Again,59,1,2020-03-06,43,0
Bad Bad Bad,Young Thug Featuring Lil Baby,32,45,2019-08-30,158,1
Bad Bitch From Tokyo (Intro),Pop Smoke,55,1,2020-07-17,47,0
Bad Blood,Bastille,95,1,2014-04-25,7,0
Bad Blood,Taylor Swift Featuring Kendrick Lamar,1,325,2014-11-14,749,1
Bad Blood (Taylor's Version),Taylor Swift,7,6,2023-11-10,105,0
Bad Boy,Juice WRLD & Young Thug,22,15,2021-01-29,108,0
Bad Day,Justin Bieber,53,1,2013-11-22,49,0
Bad Decisions,"benny blanco, BTS & Snoop Dogg",10,15,2022-08-19,120,1
Bad Dreams,Teddy Swims,72,10,2024-09-27,48,0
Bad Energy,Juice WRLD,16,3,2020-07-24,90,0
Bad For You,Meek Mill Featuring Nicki Minaj,78,3,2015-07-17,28,0
Bad Guy,Billie Eilish,1,1225,2019-04-12,2549,1
Bad Habit,Steve Lacy,1,630,2022-07-15,1359,1
Bad Habits,Ed Sheeran,2,1596,2021-07-09,3290,1
Bad Habits,Maxwell,71,27,2010-01-01,83,0
Bad Idea,Ariana Grande,27,6,2019-02-22,85,0
Bad Idea Right?,Olivia Rodrigo,7,190,2023-08-25,473,1
Bad Liar,Imagine Dragons,56,45,2018-11-23,134,1
Bad Liar,Selena Gomez,20,105,2017-06-02,290,1
Bad Luck,Khalid,87,1,2019-04-19,15,0
Bad Man (Smooth Criminal),Polo G,49,21,2021-11-26,93,0
Bad Morning,YoungBoy Never Broke Again,28,6,2021-10-08,84,0
Bad One,Eminem & White Gold,69,1,2024-07-26,33,0
Bad Romance,Glee Cast,54,3,2010-06-04,52,0
Bad Romance,Lady Gaga,2,602,2010-01-01,1302,1
Bad Things,Machine Gun Kelly x Camila Cabello,4,276,2016-11-04,648,1
Bad Vibes Forever,XXXTENTACION Featuring PnB Rock & Trippie Redd,85,1,2019-12-20,17,0
Baddest,"Yung Bleu, Chris Brown & 2 Chainz",56,210,2021-08-13,464,1
Baddest Thing,YoungBoy Never Broke Again,92,1,2021-10-08,10,0
Bag Of Money,"Wale Featuring Rick Ross, Meek Mill & T-Pain",64,91,2012-07-13,218,1
Baggage Claim,Miranda Lambert,44,210,2011-08-26,476,1
Baguettes In The Face,"Mustard Featuring NAV, Playboi Carti & A Boogie Wit da Hoodie",81,21,2019-07-26,61,0
Bahamas Promises,Drake,20,6,2023-10-20,92,0
Bahm Bahm,Nicki Minaj,95,1,2023-12-22,7,0
Baila Baila Baila,Ozuna x Daddy Yankee x J Balvin x Farruko x Anuel AA,69,45,2019-05-10,121,1
Baila Conmigo,Selena Gomez With Rauw Alejandro,74,3,2021-02-12,32,0
Bailando,Enrique Iglesias Featuring Descemer Bueno & Gente de Zona,12,465,2014-05-16,1018,1
Bait A Hook,Justin Moore,63,55,2011-11-11,147,1
Bake Sale,Wiz Khalifa Featuring Travi$ Scott,56,3,2016-02-12,50,0
Ball,T.I. Featuring Lil Wayne,50,210,2012-11-02,470,1
Ball For Me,Post Malone Featuring Nicki Minaj,16,105,2018-05-11,294,1
Ball If I Want To,DaBaby,39,45,2021-07-02,151,1
Ballad Of A Homeschooled Girl,Olivia Rodrigo,24,3,2023-09-22,82,0
Ballin',Mustard & Roddy Ricch,11,990,2019-08-02,2069,1
Ballin',Young Jeezy Featuring Lil Wayne,57,15,2011-06-03,73,0
Balloon,"Tyler, The Creator Featuring Doechii",56,10,2024-11-08,64,0
Bam,"JAY-Z Featuring Damian ""Jr. Gong"" Marely",47,1,2017-07-28,55,0
Bam Bam,Camila Cabello Featuring Ed Sheeran,21,210,2022-03-18,499,1
Bandido,Myke Towers & Juhn,82,28,2021-02-19,74,0
Bandit,Don Toliver,38,171,2024-02-16,404,1
Bandit,Juice WRLD & YoungBoy Never Broke Again,10,210,2019-10-18,510,1
Bandz A Make Her Dance,Juicy J Featuring Lil Wayne & 2 Chainz,29,210,2012-09-28,491,1
Bang Bang,"Jessie J, Ariana Grande & Nicki Minaj",3,496,2014-08-15,1089,1
Bang Bang Bang,Selena Gomez & The Scene,94,1,2011-06-24,8,0
Bang Bang Pow Pow,T-Pain Featuring Lil Wayne,48,3,2011-12-23,58,0
Bang My Head,David Guetta Featuring Sia & Fetty Wap,76,21,2016-01-29,66,0
Bang!,AJR,8,630,2020-07-03,1352,1
Bangarang,Skrillex Featuring Sirah,72,210,2012-03-02,448,1
Banjo,Rascal Flatts,51,153,2012-03-02,355,1
Bank Account,21 Savage,12,411,2017-07-28,910,1
Banking On Me,Gunna,61,55,2022-03-04,149,1
Bar At The End Of The World,Kenny Chesney,92,1,2017-04-28,10,0
Barbarian,Lil Durk,48,3,2022-03-25,58,0
Barbie Dangerous,Nicki Minaj,58,1,2023-12-22,44,0
Barbie Dreams,Nicki Minaj,18,28,2018-08-24,138,1
Barbie Tingz,Nicki Minaj,25,10,2018-04-20,95,0
Barbie World,Nicki Minaj & Ice Spice With Aqua,7,231,2023-07-07,555,1
Barbra Streisand,Duck Sauce,89,1,2011-05-13,13,0
Barcelona,Ed Sheeran,96,1,2017-03-24,6,0
Barefoot Blue Jean Night,Jake Owen,21,300,2011-04-29,679,1
Barely Holdin' On,Polo G,68,1,2023-09-01,34,0
Bartender,Lady Antebellum,31,210,2014-06-06,489,1
Bartier Cardi,Cardi B Featuring 21 Savage,14,210,2018-01-05,506,1
Bass Boat,Zach Bryan,61,3,2024-07-19,45,0
Bass Down Low,Dev Featuring The Cataracs,61,78,2010-12-24,195,1
Bat Man,YoungBoy Never Broke Again,89,1,2020-03-06,13,0
Baticano,Bad Bunny,78,1,2023-10-27,24,0
Battle Scars,Lupe Fiasco & Guy Sebastian,71,210,2012-09-14,449,1
Be A Light,"Thomas Rhett Featuring Reba McEntire, Hillary Scott, Chris Tomlin & Keith Urban",42,253,2020-04-17,564,1
Be Alright,Ariana Grande,43,1,2016-04-08,59,0
Be Alright,Dean Lewis,23,435,2018-11-09,947,1
Be Careful,Cardi B,11,210,2018-04-13,509,1
Be Kind,Marshmello & Halsey,29,120,2020-05-15,311,1
Be Like Me,Lil Pump Featuring Lil Wayne,72,1,2019-03-08,30,0
Be Like That,Kane Brown With Swae Lee & Khalid,19,231,2020-07-24,543,1
Be Real,Kid Ink Featuring DeJ Loaf,43,210,2015-05-01,477,1
Be Something,Polo G Featuring Lil Baby,57,3,2020-05-29,49,0
Beachin',Jake Owen,26,210,2014-04-11,494,1
"Beamer, Benz, Or Bentley",Lloyd Banks Featuring Juelz Santana,49,136,2010-02-26,323,1
Bean (Kobe),Lil Uzi Vert Featuring Chief Keef,19,3,2020-03-27,87,0
Beast Mode,A Boogie Wit da Hoodie Featuring PnB Rock & YoungBoy Never Broke Again,86,1,2017-10-20,16,0
Beat Box,SpotemGottem Featuring Pooh Shiesty Or DaBaby,12,276,2021-01-29,640,1
Beat It,Sean Kingston Featuring Chris Brown & Wiz Khalifa,52,171,2013-05-03,390,1
Beat Of The Music,Brett Eldredge,44,210,2014-02-21,476,1
Beat The Odds,Lil Tjay,36,10,2022-09-09,84,0
Beat This Summer,Brad Paisley,46,210,2013-03-22,474,1
Beating Heart,Ellie Goulding,88,6,2014-04-04,24,0
Beautiful,Bazzi Featuring Camila Cabello,26,378,2018-08-17,830,1
Beautiful,Carly Rae Jepsen Featuring Justin Bieber,87,1,2012-10-05,15,0
Beautiful,Christina Aguilera & Beverly McClellan,74,1,2011-07-15,28,0
Beautiful,DJ Khaled Featuring Future & SZA,29,3,2022-09-09,77,0
Beautiful,Glee Cast,61,1,2010-05-14,41,0
Beautiful As You,Thomas Rhett,50,300,2024-06-21,650,1
Beautiful Crazy,Luke Combs,21,496,2018-05-18,1071,1
Beautiful Day,Lee DeWyze,24,3,2010-06-11,82,0
Beautiful Drug,Zac Brown Band,52,210,2015-11-20,468,1
Beautiful Lasers (2 Ways),Lupe Fiasco Featuring MDMA,70,1,2011-03-25,32,0
Beautiful Lies,Yung Bleu & Kehlani,65,55,2022-02-04,145,1
Beautiful Life,Nick Fradiani,93,1,2015-05-29,9,0
Beautiful Mistakes,Maroon 5 Featuring Megan Thee Stallion,13,325,2021-03-19,737,1
Beautiful Monster,Ne-Yo,53,45,2010-06-25,137,1
Beautiful Now,Zedd Featuring Jon Bellion,64,105,2015-06-05,246,1
Beautiful Pain,Eminem Featuring Sia,99,1,2013-11-22,3,0
Beautiful Pain (Losin My Mind),Polo G,92,1,2020-05-29,10,0
Beautiful People,Chris Brown Featuring Benny Benassi,43,10,2011-09-16,77,0
Beautiful People,Ed Sheeran Featuring Khalid,13,351,2019-07-12,789,1
Beautiful Things,Benson Boone,2,1176,2024-02-02,2450,1
Beautiful Trauma,P!nk,78,120,2017-12-08,262,1
Beautiful Trip,Kid Cudi,100,1,2020-12-25,2,0
Beauty And A Beat,Justin Bieber Featuring Nicki Minaj,5,300,2012-07-06,695,1
Beauty And The Beast,Ariana Grande & John Legend,87,1,2017-02-24,15,0
Beauty In The Benz,Tory Lanez Featuring Snoop Dogg,87,1,2019-11-29,15,0
Bebe Dame,Fuerza Regida X Grupo Frontera,25,210,2023-01-06,495,1
Bed,Nicki Minaj Featuring Ariana Grande,42,55,2018-06-29,168,1
Bed Chem,Sabrina Carpenter,14,153,2024-09-06,392,1
Bed Intruder Song,Antoine Dodson & The Gregory Brothers Featuring Kelly Dodson,89,6,2010-08-27,23,0
Bed Of Lies,Nicki Minaj Featuring Skylar Grey,62,21,2014-12-05,80,0
BedRock,Young Money Featuring Lloyd,2,319,2010-01-01,736,1
Bedroom Floor,Liam Payne,98,1,2017-11-10,4,0
Been You,Justin Bieber,81,1,2015-12-04,21,0
Beep Beep,Nicki Minaj,64,3,2023-12-22,42,0
Beer Can't Fix,Thomas Rhett Featuring Jon Pardi,36,171,2020-03-27,406,1
Beer Money,Kip Moore,51,210,2012-10-05,469,1
Beer Never Broke My Heart,Luke Combs,21,231,2019-05-17,541,1
Beers Ago,Toby Keith,52,120,2012-05-04,288,1
Beers And Sunshine,Darius Rucker,42,120,2020-11-20,298,1
Beers On Me,"Dierks Bentley, BRELAND & HARDY",40,210,2022-01-07,480,1
Beez In The Trap,Nicki Minaj Featuring 2 Chainz,48,210,2012-04-20,472,1
Before Fajr,Lil Durk,82,1,2023-06-09,20,0
Before I Let Go,Beyonce,65,136,2019-05-03,307,1
Before You Go,Lewis Capaldi,9,1378,2020-02-07,2847,1
Beg For It,Iggy Azalea Featuring M0,27,136,2014-11-07,345,1
Beg Forgiveness,¥$: Ye & Ty Dolla $ign,65,1,2024-02-23,37,0
Beggin',Maneskin,13,325,2021-07-09,737,1
Beggin' On Your Knees,Victorious Cast Featuring Victoria Justice,58,10,2011-04-15,62,0
Begin Again,Taylor Swift,7,210,2012-10-12,513,1
Begin Again (Taylor's Version),Taylor Swift,77,1,2021-11-26,25,0
Behind Barz,Drake,75,3,2019-09-27,31,0
Beibs In The Trap,Travis Scott,90,6,2017-01-20,22,0
Bejeweled,Taylor Swift,6,45,2022-11-04,184,1
Believe,Meek Mill Featuring Justin Timberlake,90,1,2020-02-21,12,0
Believe,Mumford & Sons,31,120,2015-03-27,309,1
Believe It,PARTYNEXTDOOR & Rihanna,23,105,2020-04-10,287,1
Believe Me,Lil Wayne Featuring Drake,26,210,2014-06-13,494,1
Believe What I Say,Kanye West,28,3,2021-09-10,78,0
Believer,Imagine Dragons,4,1332,2017-02-24,2760,1
Bella y Sensual,Romeo Santos Featuring Nicky Jam & Daddy Yankee,95,1,2017-12-22,7,0
Bellakeo,Peso Pluma & Anitta,53,105,2023-12-29,257,1
Bellas Finals: Price Tag / Don't You (Forget About Me)...,The Barden Bellas,85,21,2013-01-11,57,0
Belly,Lil Baby & Gunna,80,1,2018-10-19,22,0
Belong Together,Mark Ambor,74,300,2024-05-10,626,1
Bend Ova,Lil Jon Featuring Tyga,92,6,2014-09-26,20,0
Beneath Your Beautiful,Labrinth Featuring Emeli Sande,34,105,2013-06-07,276,1
Berzerk,Eminem,3,210,2013-09-13,517,1
Beso,Rosalia & Rauw Alejandro,52,78,2023-04-07,204,1
Best Day Of My Life,American Authors,11,666,2013-11-29,1421,1
Best For Me,Joyner Lucas & Jelly Roll,93,1,2024-04-05,9,0
Best Friend,Saweetie Featuring Doja Cat,14,465,2021-01-22,1016,1
Best Friend,"Sofi Tukker Featuring NERVO, The Knocks & Alisa Ueno",81,15,2018-01-12,49,0
Best Friend,Young Thug,45,210,2015-12-11,475,1
Best Friend's Brother,Victorious Cast Featuring Victoria Justice,86,10,2011-06-17,34,0
Best Friends,Sophia Grace,87,1,2015-01-23,15,0
Best Friends,The Weeknd,60,1,2022-01-21,42,0
Best I Ever Had,Gavin DeGraw,75,15,2013-10-04,55,0
Best Life,Cardi B Featuring Chance The Rapper,39,6,2018-04-20,73,0
Best Love Song,T-Pain Featuring Chris Brown,33,210,2011-04-08,487,1
Best Mistake,Ariana Grande Featuring Big Sean,49,3,2014-08-29,57,0
Best Part,Daniel Caesar Featuring H.E.R.,75,190,2018-08-03,405,1
Best Part Of Me,Ed Sheeran Featuring YEBBA,99,1,2019-07-26,3,0
Best Shot,Jimmie Allen,37,210,2018-09-28,483,1
Best Song Ever,One Direction,2,231,2013-08-09,560,1
Best Thing I Never Had,Beyonce,16,210,2011-06-17,504,1
Best Thing Since Backroads,Jake Owen,72,10,2022-07-15,48,0
Besties,Karol G,96,1,2023-03-10,6,0
Bet I,B.o.B Featuring T.I. & Playboy Tre,72,1,2010-05-07,30,0
Beth,Glee Cast,72,1,2010-06-11,30,0
Betrayal,Trippie Redd Featuring Drake,67,1,2021-09-03,35,0
Betrayed,Lil Xan,64,204,2017-12-01,444,1
Better,Khalid,8,1176,2018-09-28,2444,1
Better,Zayn,89,1,2020-10-09,13,0
Better Believe,"Belly, The Weeknd & Young Thug",88,1,2021-08-06,14,0
Better Days,Ant Clemons Featuring Justin Timberlake,94,1,2021-01-29,8,0
Better Days,NEIKED X Mae Muller X Polo G,23,210,2021-10-29,497,1
Better Days,Zach Bryan Featuring John Mayer,46,10,2024-07-19,74,0
Better Dig Two,The Band Perry,28,210,2012-11-16,492,1
Better Man,Little Big Town,34,210,2016-11-18,486,1
Better Man (Taylor's Version) (From The Vault),Taylor Swift,51,1,2021-11-26,51,0
Better Now,Post Malone,3,1378,2018-05-11,2853,1
Better Place,*NSYNC,25,21,2023-10-13,117,0
Better Than Ever,YoungBoy Never Broke Again & Rod Wave,99,1,2023-11-24,3,0
Better Than I Know Myself,Adam Lambert,76,1,2012-01-06,26,0
Better Than I Used To Be,Tim McGraw,52,210,2011-12-30,468,1
Better Than Revenge,Taylor Swift,56,1,2010-11-12,46,0
Better Than Revenge (Taylor's Version),Taylor Swift,28,1,2023-07-21,74,0
Better Together,Luke Combs,15,325,2019-11-22,735,1
Better With The Lights Off,New Boyz Feat. Chris Brown,38,190,2011-05-20,442,1
Betty,Taylor Swift,42,3,2020-08-07,64,0
Betty (Get Money),Yung Gravy,30,153,2022-07-22,376,1
Between The Raindrops,Lifehouse Featuring Natasha Bedingfield,79,3,2012-09-28,27,0
Beware,Big Sean Featuring Lil Wayne & Jhene Aiko,38,210,2013-07-12,482,1
Bezerk,Big Sean Featuring A$AP Ferg & Hit-Boy,89,1,2019-09-13,13,0
Bichiyal,Bad Bunny & Yaviah,89,1,2020-03-13,13,0
Bichota,Karol G,72,91,2020-12-04,210,1
Bickenhead,Cardi B,43,3,2018-04-20,63,0
Big 14,"Trippie Redd, Moneybagg Yo & Offset",96,1,2022-08-19,6,0
Big Bank,"YG Featuring 2 Chainz, Big Sean & Nicki Minaj",16,300,2018-06-08,684,1
Big Boy Diamonds,Gucci Mane Featuring Kodak Black & London On Da Track,100,1,2019-11-15,2,0
Big Dawg,Lil Durk & Chief Wuk,67,1,2023-06-09,35,0
Big Dawgs,Hanumankind X Kalmi,23,91,2024-08-09,259,1
Big Difference,Nicki Minaj,73,1,2023-12-22,29,0
Big Energy,Latto,3,1326,2021-11-05,2749,1
Big Foot,Nicki Minaj,23,1,2024-02-09,79,0
Big Gangsta,Kevin Gates,81,15,2021-04-23,49,0
Big Mama,Latto,92,1,2024-08-23,10,0
Big Night,Big Time Rush,79,1,2011-01-14,23,0
Big Ole Freak,Megan Thee Stallion,65,78,2019-04-19,191,1
Big Paper,DJ Khaled Featuring Cardi B,84,1,2021-05-14,18,0
Big Purr (Prrdd),Coi Leray & Pooh Shiesty,69,6,2021-04-09,43,0
Big Rings,Drake & Future,52,210,2015-10-09,468,1
Big Shot,Kendrick Lamar & Travis Scott,71,3,2018-02-23,35,0
Big Stepper,Roddy Ricch,98,1,2019-12-20,4,0
Big Time,DJ Khaled Featuring Future & Lil Baby,31,1,2022-09-09,71,0
Big Truck,YoungBoy Never Broke Again,100,1,2023-05-05,2,0
"Big, Big Plans",Chris Lane,42,210,2020-10-09,478,1
Bigger > You,"2 Chainz, Drake & Quavo",53,3,2018-06-29,53,0
Bigger In Texas,Megan Thee Stallion,84,1,2024-11-08,18,0
Bigger Than Life,Lil Uzi Vert,33,1,2020-03-20,69,0
Bigger Than The Whole Sky,Taylor Swift,21,10,2022-11-04,99,0
Biggest Alley Oop,Quavo,86,1,2018-10-26,16,0
Bill Gates,Lil Wayne,75,1,2010-10-15,27,0
Billie Bossa Nova,Billie Eilish,70,1,2021-08-13,32,0
Billie Eilish.,Armani White,58,105,2022-09-16,252,1
Billie Jean,Michael Jackson,1,25,2014-06-06,149,1
Billionaire,Glee Cast,28,1,2010-10-08,74,0
Billionaire,Travie McCoy Featuring Bruno Mars,4,378,2010-04-16,852,1
Bills,LunchMoney Lewis,79,21,2015-03-27,63,0
"Bills, Bills, Bills",Glee Cast,44,3,2011-02-18,62,0
Billy,6ix9ine,50,36,2018-03-09,122,1
Bionic,Christina Aguilera,66,1,2010-06-25,36,0
Bipolar,Peso Pluma x Jasiel Nunez x Junior H,60,10,2023-09-22,60,0
Birds Of A Feather,Billie Eilish,2,496,2024-05-31,1090,1
Birthday,Katy Perry,17,171,2014-04-25,425,1
Birthday Cake,Rihanna Featuring Chris Brown,24,210,2012-03-09,496,1
Birthday Song,2 Chainz Featuring Kanye West,47,210,2012-08-10,473,1
Bitch Let's Do It,YoungBoy Never Broke Again,62,1,2023-05-26,40,0
